id,question,question_concept,choices,answerKey
02e821a3e53cb320790950aab4489e85,Google Maps dan layanan GPS jalan raya lainnya telah menggantikan apa di Indonesia?,jalan raya,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['peta kertas', 'panduan wisata', 'petunjuk arah manual', 'atlas indonesia', 'pelayanan informasi turis']}",D
f5c9664c9930b704f2724fbd617bee9d,"Setelah melakukan banyak pekerjaan pada hobinya, Budi duduk di bangku taman dan bersantai. Di mana dia berada?",bangku taman,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['taman nasional', 'terminal bus', 'kebun', 'pusat kebugaran', 'area istirahat']}",C
b63b9809c203321d6659ddf8551894bf,Budi sedang mengalami penurunan suhu tubuh yang sangat cepat di puncak Gunung Jayawijaya. Dia akan meninggal jika tidak menemukan cara untuk menghentikan apa?,penurunan suhu tubuh,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['kehilangan panas', 'dendam', 'ekspansi', 'relaksasi', 'menenangkan diri']}",A
6d4ed2c485187ed79ff3bdcc8cca6132,Di mana Anda akan menemukan restoran yang menjual makanan khas Italia saat berbelanja di Indonesia?,restoran Italia,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['jakarta', 'pinggir jalan', 'kawasan italia di kota besar', 'pusat perbelanjaan', 'ibu kota provinsi']}",D
0476192858e7f541611b5c2d3c5e5197,"Budi berbohong tentang lokasi candi yang hilang, tetapi dia sangat ketakutan. Dia terus-menerus khawatir tentang apa?",berbohong,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['uang hadiah penemuan', 'perasaan orang lain yang terluka', 'ketahuan berbohong', 'masalah yang mungkin timbul', 'masalah hukum']}",C
84e983f432647531b55b8b72c12fb78a,"Ahmad mengalami banyak konsekuensi setelah menusuk orang asing hingga tewas. Di antaranya, keluarga korban melakukan sesuatu terhadapnya. Apa itu?",menusuk hingga tewas,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['luka tusukan', 'membeli senjata', 'pendarahan', 'waktu di penjara', 'gugatan hukum']}",E
c8b18acf8e95172ff79b0a837e9369f3,Di mana Anda dapat menemukan restoran seafood di pantai timur Pulau Jawa?,restoran seafood,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['surabaya', 'cirebon', 'kota pesisir', 'kota-kota pantai', 'laut']}",A
47db2878d917ceb8d82627de4722a254,Di mana elang Jawa aman?,elang Jawa,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['pohon pinus', 'dataran terbuka', 'di taman nasional ujung kulon', 'suaka margasatwa', 'langit']}",D
c428412a660f34965772a7389ce58e0a,Apa yang mungkin menjadi hasil dari musim panen padi yang berhasil di Indonesia?,panen padi,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['peningkatan ekonomi petani', 'kekurangan stok beras', 'penurunan harga beras', 'kerusakan tanaman padi', 'peningkatan cadangan pangan nasional']}",E
129014ff081296c3d9bbc338c5ff32db,Di mana biasanya seseorang memainkan biola?,biola,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['toko musik', 'gedung pertunjukan tari', 'orkestra', 'simfoni', 'jawa']}",C
