prompt,response
"Apakah adab makan utama masyarakat Indonesia?
A. Tidak berbicara saat makan
B. Menghabiskan makanan
C. Makan menggunakan tangan kanan
D. Makan sambil duduk
E. Tidak mengecap saat makan

Give only one answer that most likely to be the correct answer with a prefix that says ""Answer:"" follows by the option letter. For example:
Answer: Z",C
"Seperti apakah adonan kue yang bagus?
A. Lengket
B. Kalis
C. Encer
D. Padat
E. Elastis

Give only one answer that most likely to be the correct answer with a prefix that says ""Answer:"" follows by the option letter. For example:
Answer: Z",B
"Apa yang biasanya digunakan untuk mengaduk kopi?
A. Sedotan
B. Bungkus kopi
C. Garpu
D. Sumpit
E. Sendok

Give only one answer that most likely to be the correct answer with a prefix that says ""Answer:"" follows by the option letter. For example:
Answer: Z",E
"Air apa yang biasa digunakan untuk membuat es batu?
A. Air putih
B. Air teh
C. Air kelapa
D. Susu
E. Kopi

Give only one answer that most likely to be the correct answer with a prefix that says ""Answer:"" follows by the option letter. For example:
Answer: Z",A
"Masakan apa yang tidak bisa dimasak di air fryer?
A. Kentang
B. Ikan
C. Nasi
D. Ayam
E. Kerupuk

Give only one answer that most likely to be the correct answer with a prefix that says ""Answer:"" follows by the option letter. For example:
Answer: Z",C
"Kapan prosesi aqiqah biasanya dilakukan?
A. Ketika anak berumur 2 tahun
B. Ketika anak sudah lahir
C. Ketika anak mulai berjalan
D. Sebelum anak lahir
E. Ketika anak berumur 100 hari

Give only one answer that most likely to be the correct answer with a prefix that says ""Answer:"" follows by the option letter. For example:
Answer: Z",B
"Kuliner apakah yang mengandung alpukat di dalamnya?
A. Es campur
B. Es serut
C. Roti lapis
D. Es cendol
E. Bubur kacang

Give only one answer that most likely to be the correct answer with a prefix that says ""Answer:"" follows by the option letter. For example:
Answer: Z",A
"Menu apa yang biasanya ditemukan di angkringan?
A. Nasi campur
B. Nasi kucing
C. Nasi kuning
D. Nasi uduk
E. Nasi gudeg

Give only one answer that most likely to be the correct answer with a prefix that says ""Answer:"" follows by the option letter. For example:
Answer: Z",B
"Makanan apa yang biasa dikonsumsi wanita hamil yang mengidam makanan asam?
A. Nanas
B. Jeruk nipis
C. Mangga muda
D. Asam jawa
E. Kunyit asam

Give only one answer that most likely to be the correct answer with a prefix that says ""Answer:"" follows by the option letter. For example:
Answer: Z",C
"Jajanan anak sekolah apa yang rasanya asin?
A. Agar-agar
B. Es doger
C. Cimol
D. Rambut nenek
E. Leker

Give only one answer that most likely to be the correct answer with a prefix that says ""Answer:"" follows by the option letter. For example:
Answer: Z",C
"Apa masakan ayam khas wilayah Sumatra Barat?
A. Ayam goreng
B. Ayam mentega
C. Ayam gulai
D. Ayam bakar madu
E. Ayam pop

Give only one answer that most likely to be the correct answer with a prefix that says ""Answer:"" follows by the option letter. For example:
Answer: Z",C
