id,question,question_concept,choices,answerKey
02e821a3e53cb320790950aab4489e85,Google Maps jeung layanan GPS jalan séjén geus ngaganti naon di Indonésia?,Jalan raya,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['peta kertas', 'pituduh perjalanan', 'pituduh manual', 'atlas Indonésia', 'jasa informasi wisata']}",D
f5c9664c9930b704f2724fbd617bee9d,"Sanggeus loba pagawéan kana hobina, Budi diuk dina bangku taman bari anteng. Dimana anjeunna?",Bangku taman,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['Taman Nasional', 'terminal beus', 'kebon', 'puseur kabugaran', 'tempat istirahat']}",C
b63b9809c203321d6659ddf8551894bf,Budi ngalaman turunna suhu awak anu gancang pisan di puncak Gunung Jayawijaya. Anjeunna bakal maot upami anjeunna henteu mendakan jalan pikeun ngeureunkeun naon?,panurunan dina suhu awak,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['leungitna panas', 'pasea', 'ékspansi', 'rélaxasi', 'tenang']}",A
6d4ed2c485187ed79ff3bdcc8cca6132,Dimana anjeun bakal mendakan réstoran anu ngajual tuangeun khas Italia nalika balanja di Indonésia?,réstoran Italia,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['Jakarta', 'sisi jalan', 'Wewengkon Italia di kota gedé', 'puseur balanja', 'ibukota propinsi']}",D
0476192858e7f541611b5c2d3c5e5197,"Budi ngabohong ngeunaan lokasi candi anu leungit, tapi anjeunna sieun pisan. Naon anu anjeunna terus hariwang ngeunaan?",ngabohong,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['duit hadiah kapanggihna', 'rarasaan batur dinyenyeri', 'bray bohong', 'masalah anu mungkin timbul', 'masalah hukum']}",C
84e983f432647531b55b8b72c12fb78a,"Ahmad ngalaman loba balukarna sanggeus nusuk saurang muhrim nepi ka maot. Diantara hal séjén, kulawarga korban ngalakukeun hal ka anjeunna. Naon éta?",ditusuk nepi ka maot,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['tatu tusuk', 'meuli pakarang', 'ngaluarkeun getih', 'waktos di panjara', 'gugatan']}",E
c8b18acf8e95172ff79b0a837e9369f3,Dimana anjeun tiasa mendakan réstoran seafood di basisir wétan Pulo Jawa?,réstoran seafood,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['Surabaya', 'Cirebon', 'kota basisir', 'kota basisir', 'laut']}",A
47db2878d917ceb8d82627de4722a254,Dimana manuk garuda jawa aman?,garuda jawa,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['Tangkal pinus', 'muka polos', 'di Taman Nasional Ujung Kulon', 'cagar wIldlife', 'langit']}",D
c428412a660f34965772a7389ce58e0a,Kumaha hasil usum panén paré anu suksés di Indonésia?,panén gandum,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['ngaronjatkeun ékonomi patani', 'kakurangan stok béas', 'panurunan harga béas', 'ruksakna pepelakan paré', 'nambahan cadangan pangan nasional']}",E
129014ff081296c3d9bbc338c5ff32db,Dimana biasana maén biola?,biola,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['toko musik', 'aula pintonan tari', 'orkestra', 'simfoni', 'Jawa']}",C
a7c9d4f6be3bb973c4ebecb1e841b3ac,Berang-berang tiasa ngaruksak fungsi mesin upami aranjeunna ngawangun bendungan di tempat ieu?,Berang,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['klub peuting', 'saku', 'balong ngagiling', 'Jakarta', 'situ atawa walungan']}",C
d829cc86312173f28b877987ae87fd7c,Di propinsi mana di kidul Sumatra jeung kalér Jawa anjeun bakal manggihan jalma maén biola?,biola,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['Sumatra', 'Jakarta', 'Bali', 'Jawa Tengah', 'senar jeung bows']}",D
223d54ae26635218666dc05f42a469e9,"Sanajan anjeunna junun lulus seleksi nasional sababaraha taun ka tukang, tatu figurative na moal jadi naon?",pilihan nasional,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['gabung', 'ngahiji', 'ngaput', 'cageur', 'iteuk']}",D
6122883c3b5cd10b59a29dbd582e19c8,Di propinsi mana di Indonésia ayana jalan tol Jagorawi?,jalan tol,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['Jawa Barat', 'Jawa Tengah', 'Jawa Timur', 'DKI Jakarta', 'Bali']}",D
d57ca8ce3f5ef4794d127c2385228698,"Rani hayang ngurangan cangkéngna, tapi sagala usahana teu hasil. Naon anu anjeunna laksanakeun?",ngurangan,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['gain beurat', 'nambahan', 'ngurangan', 'ngagedean', 'ngamekarkeun']}",A
d6503fc1f87e3e2caeb7bf8e16526e0f,Budi asa rék pingsan. Anjeunna sieun. Anjeunna henteu hoyong ieu. Naon anu anjeunna sieun?,pingsan,"{'label': ['A', 'B', 'C', 'D', 'E'], 'text': ['maot', 'koma', 'kalem', 'amnesia', 'hirup leungit']}",A
